!!SBtab	TableID='Reaction'	TableType='Reaction'
!ID	!ReactionFormula
concentration	so3_c	0.001	10
concentration	accoa_c	0.001	10
concentration	oaa_c	0.001	10
concentration	coa_c	0.1	5
concentration	2dda7p_c	0.001	10
concentration	3dhq_c	0.001	10
concentration	pi_c	10	10
concentration	3dhsk_c	0.001	10
concentration	34dhbz_c	0.001	10
concentration	2ddg6p_c	0.001	10
concentration	g3p_c	0.001	10
concentration	pyr_c	0.001	10
concentration	6pgc_c	0.001	10
concentration	2pg_c	0.001	10
concentration	pep_c	0.001	10
concentration	g6p_c	0.001	10
concentration	nadp_c	0.001	10
concentration	6pgl_c	0.001	10
concentration	nadph_c	0.001	10
concentration	nad_c	0.001	10
concentration	13dpg_c	0.001	10
concentration	nadh_c	0.001	10
concentration	gthrd_c	0.001	10
concentration	gthox_c	0.001	10
concentration	akg_c	0.001	10
concentration	co2_c	0.001	10
concentration	CCbuttc_c	0.001	10
concentration	4cml_c	0.001	10
concentration	5odhf2a_c	0.001	10
concentration	3oxoadp_c	0.001	10
concentration	atp_c	5	5
concentration	hco3_c	0.001	10
concentration	adp_c	0.5	0.5
concentration	o2_c	0.001	10
concentration	dhlam_c	0.001	10
concentration	lpam_c	0.001	10
concentration	f6p_c	0.001	10
concentration	3pg_c	0.001	10
concentration	ru5p__D_c	0.001	10
concentration	xu5p__D_c	0.001	10
concentration	r5p_c	0.001	10
concentration	so4_c	0.001	10
concentration	ppi_c	1	1
concentration	succ_c	0.001	10
concentration	succoa_c	0.001	10
concentration	h2s_c	0.001	10
concentration	s7p_c	0.001	10
concentration	e4p_c	0.001	10
concentration	sdhlam_c	0.001	10
concentration	oxadpcoa_c	0.001	10
concentration	xylu__D_c	0.001	10
concentration	xyl__D_c	0.01	10.0
